ma_giong,ten_giong,ma_loai
1,Labrador Retriever,1
2,German Shepherd,1
3,Golden Retriever,1
4,French Bulldog,1
5,Bulldog,1
6,Poodle,1
7,Beagle,1
8,Rottweiler,1
9,Yorkshire Terrier,1
10,Dachshund,1
11,Shih Tzu,1
12,Pomeranian,1
13,Chihuahua,1
14,Japanese Spitz,1
15,Maltese,1
16,Siberian Husky,1
17,Shiba Inu,1
18,Chow Chow,1
19,Akita,1
20,Miniature Schnauzer,1
21,Persian,2
22,Maine Coon,2
23,Siamese,2
24,Ragdoll,2
25,British Shorthair,2
26,Sphynx,2
27,Bengal,2
28,Scottish Fold,2
29,Abyssinian,2
30,Birman,2
31,Exotic Shorthair,2
32,Siberian,2
33,Turkish Van,2
34,Balinese,2
35,Betta Fish,3
36,Goldfish ,3
37,Neon Tetra,3
38,Guppy,3
39,Angelfish,3
40,Discus Fish,3
41,Molly Fish,3
42,Swordtail Fish,3
43,Platies,3
44,Koi Carp,3
45,Betta Fish ,3
46,Goldfish,3
47,Guppy ,3
48,Siamese Algae Eater,3
49,Cherry Barb,3
50,Pearl Gourami,3
51,Asian Arowana,3
52,Moonlight Gourami,3
53,Paradise Fish,3
54,Budgerigar,4
55,Cockatiel,4
56,African Grey Parrot,4
57,Lovebird,4
58,Canary,4
59,Eclectus Parrot,4
60,Sun Conure,4
61,Quaker Parrot ,4
62,Cockatoo ,4
63,Macaw ,4
64,Indian Ringneck Parakeet,4
65,Plum-headed Parakeet,4
66,Java Sparrow,4
67,Zebra Finch,4
68,Peach-faced Lovebird,4
69,Fischer's Lovebird,4